appName,amount,describe,cost,applications
进财宝,2500-3000,"无抵押贷款，易申请，额度高,放款快",,6150
百度-借现金,10000-200000,除利息无各种手续费，大额贷,18%,4349
有米淘,1000-5000,芝麻600分，轻松借5000，立即领取,0.07%/天,5434
财驿站,500--50000,零手续费、无抵押、最高50000额度,0.16%,3429
先花一亿元,500—10000元,最快5分钟放款,0.098%/日,3461
借条大师,500以上,借条,0.01%,30659
用钱宝,2000-30000,千元借款0门槛，凭身份证就能申请,年利率36%,13920
信富期贷,2000-5000,信而富旗下分期平台，费率低，门槛低,,4343
爱又米-嗨花,5000-30000,申请方便 纯信用贷 放款快！,"月服务费率	0.85%-1.55%风险定价 手续费	借款本金",6394
大唐贷,1000-3000,一分钟认证，十分钟审核，半小时放款,0.042%日息,4996
龙分期,1000--4000,纯线上审核，3小时极速放款,0.1%/日,15774
融易宝,1000-5000,申请方便 纯信用贷 放款快！,日利率0.02%,4585
零花宝,1000,资料简单，审核快速,0.097%日,5112
天满星,,最快3分钟到帐,,3866
花无忧,500-5000,低门槛低利率，操作简单，极速到账,0.098%/天 ,11142
三秒贷,1000--5000,门槛低，放款快,0.07%/天,6529
